id,name,class,rank,cost,focusCost,range,isAttack,damage,hasGraze,grazeDamage,hasResistance,resistanceDV,tags,description,isInnate,isHeroicTalent,parent
blademaster-divinedeflection,Divine Deflection,blademaster,4,0,0,,FALSE,,FALSE,,FALSE,11,"weapon,reaction,limitround","**Condition:** You are hit by a *Ranged Attack.*
**Effect:** Make a **Resistance Roll** (11). On a **4+:** You have **Damage Resistance** against the triggering attack, and that attack has: ""**On Hit:** The attacker **repeats** the attack against themselves.""",FALSE,FALSE,
blademaster-sweepingstrikes,Sweeping Strikes,blademaster,4,0,0,Cleave 2,FALSE,,FALSE,,FALSE,10,,In **Versatile Stance** or **Heavy Stance**: Your first *Melee Weapon Attack* **Action** each turn has **Cleave 2**.,FALSE,FALSE,
blademaster-omnislash,Omnislash,blademaster,5,3,4,Variable,TRUE,2[atk]+3,FALSE,,FALSE,10,"movement,melee,weapon,attack","**Flurry**
Perform a *Basic* **Move Action** as a **Free Action**. During this *Movement,* you are **Flying** and don't trigger **Reactions.** At the end of the movement, **Omnislash's Attack Roll** targets any number of characters, as long as you were adjacent to each targeted character at any point during this *Movement*.",FALSE,FALSE,
blademaster-swallow-cutter,Swallow Cutter,blademaster,5,passive,0,,FALSE,,FALSE,,FALSE,10,"passive,limitround","**1/Round:** When your *Melee Attack's* **Attack Roll** has **net Advantage,** you may instead make that attack with no net **Advantage** or **Disadvantage.**
**If you do,** perform a *Melee Attack* **Action** that costs 1 AP or less as a **Free Action**.",FALSE,FALSE,
scoundrel-trick-stance,Trick Stance,scoundrel,0,passive,0,,FALSE,,FALSE,,FALSE,10,"weapon,stance",When you perform an *Attack* **Action** against a hostile character that's adjacent to one or more of your allies: The **Attack Roll** has **+1 Advantage.**,FALSE,FALSE,
scoundrel-skirmisher,Skirmisher,scoundrel,0,passive,0,,FALSE,,FALSE,,FALSE,10,,You can move diagonally.,FALSE,FALSE,
scoundrel-sneak,Shadow Walk,scoundrel,0,1,0,,FALSE,,FALSE,,FALSE,10,stealth,"Perform **Shadow Walk** only if you're not adjacent to any hostile characters, and only while adjacent to cover or a source of cover.
You have the **Hide Reaction** until the start of your next turn.",FALSE,FALSE,
scoundrel-sneak-special,Shadow Walk: Hide,scoundrel,0,reaction,0,,FALSE,,FALSE,,TRUE,10+[tier],"special,reaction,combo,stealth,limitround","**Condition:** A hostile character begins their turn, and you used **Shadow Walk** on your most recent turn.
**Effect:** The character makes a **Resistance Roll**. A character that fails can't target you with **Actions** this turn unless those **Actions** could target multiple characters.",FALSE,FALSE,scoundrel-sneak
scoundrel-ultimate,Eviscerate,scoundrel,0,2,0,Melee,TRUE,4[atk]+5,FALSE,,FALSE,10,"heroic,ultimate,finisher,melee,weapon,attack","Perform **Eviscerate** only against a target that is not adjacent to any of its allies.

**On Miss:** Refund **Eviscerate's Inspiration Cost** and **1/Quest** property.

**Finisher: Eviscerate** has the following properties:
- The **Attack Roll** has +1 **Advantage.**
- **On Hit:** The target is **Sundered** until the end of their next turn.

Then, **Move** or **Evade** as a **Free Action**.",FALSE,FALSE,
scoundrel-lightfoot,Lightfoot,scoundrel,1,passive,0,,FALSE,,FALSE,,FALSE,10,,Your *Movement* **Actions** ignore *natural* **Difficult Terrain** and don't activate hostile *Traps*.,FALSE,FALSE,
scoundrel-rip,Rip,scoundrel,1,1,3,Melee,TRUE,[atk]+1,TRUE,2,TRUE,10+[tier],"combo,melee,weapon,attack",**On Damage**: Target makes a **Resistance Roll** or becomes **Immobilized 1**.,FALSE,FALSE,
scoundrel-cheapshot,Cheap Shot,scoundrel,1,2,0,Melee,TRUE,[atk],TRUE,1+[tier],FALSE,10,"finisher,melee,weapon,attack","**Finisher - On Hit:** Target is **Dazed +1**, and the attack deals **2 Bonus Damage** for each **Condition** affecting the target.
**Finisher - On Miss:** Graze 1+[tier]",FALSE,FALSE,
scoundrel-coldblood,Cold Blood,scoundrel,1,passive,0,,FALSE,,FALSE,,FALSE,10,,Your **Refocus** is a *Combo* **Action**.,FALSE,FALSE,
scoundrel-dual-stance,Dual Wield Stance,scoundrel,2,passive,0,,FALSE,,FALSE,,FALSE,10,"weapon,stance",You have **+1 Attack** and the **Off Hand** *Passive*.,FALSE,FALSE,
scoundrel-dual-stance-special,Dual Wield Stance: Off Hand,scoundrel,2,passive,0,,FALSE,,FALSE,,FALSE,10,"special,limitround",Your first *Melee Weapon Attack* **Action** each round has **On Hit:** Perform a *Basic Attack* **Action** with **+1 Advantage.** It's a **Free Action** (?) and deals half damage on a hit.,FALSE,FALSE,scoundrel-dual-stance
scoundrel-impaler,Impaler,scoundrel,2,2,0,Melee,TRUE,[atk]+4,FALSE,5,FALSE,10,"finisher,melee,weapon,attack,limitround","**Finisher - On Damage:** The total damage is also dealt to up to one hostile character of your choice that's adjacent to the target. *(No roll.)*
**Finisher - On Miss:** Graze 5.",FALSE,FALSE,
scoundrel-opportunity,Seize Opening,scoundrel,2,reaction,1,,FALSE,,FALSE,,FALSE,10,"attack,reaction,limitround","**Condition:** An adjacent hostile character is damaged by an allied character.
**Effect** - **Focus Cost** 1: Perform a *Basic Attack* **Action** on the damaged character. If you're in **Trick Stance**, that *Attack* **Action** has **On Hit:** Inflict **Poisoned +1.**",FALSE,FALSE,
scoundrel-violent-delights,Violent Delights,scoundrel,3,passive,0,,FALSE,,FALSE,,FALSE,10,,Your *Finisher* **Actions** have **Finisher - On Hit:** Recover 1 **Focus.**,FALSE,FALSE,
scoundrel-knife-juggler,Knife Juggler,scoundrel,3,passive,0,,FALSE,,FALSE,,FALSE,10,,"In **Trick Stance:** The first *Melee Attack* **Action** you perform during your turn has **Range** 3, deals half damage, and inflicts **Poisoned 2.**
Otherwise, you have the **Razor** *Special* **Action**.",FALSE,FALSE,
scoundrel-knife-juggler-special,Knife Juggler: Razor,scoundrel,3,1,1,Range 3,TRUE,3,FALSE,,FALSE,10,"special,melee,weapon,attack","**Flurry**
Deals **Piercing Damage**. *(Ignores Armor and Barrier.)*",FALSE,FALSE,scoundrel-knife-juggler
scoundrel-preparation,Preparation,scoundrel,3,passive,0,,FALSE,,FALSE,,FALSE,10,,"If you used a *Stealth* **Action* this turn or have **Concealment**: **Study** has **+3 Range.**
When you **Study** a character, your next **Attack Roll** against that character deals **+3 Bonus Damage** on a hit.",FALSE,FALSE,
scoundrel-called-shot,Called Shot,scoundrel,4,2,0,Melee,TRUE,2[atk],FALSE,2,FALSE,10,"finisher,melee,weapon,attack,limitround","**Finisher - On Hit:** Inflict **Bleeding +1, Slowed +1, or Stunned +1.** *(You choose when dealing damage.)*
**Finisher - On Miss** Graze 2.",FALSE,FALSE,
scoundrel-bagoftricks,Bag of Tricks,scoundrel,4,passive,0,,FALSE,,FALSE,,FALSE,10,,"In **Trick Stance:** You have the **Malice** *Special* **Action.** Otherwise, the first *Weapon Attack* **Action** you perform during your turn has **On Hit:** Inflict **Poisoned +1**.",FALSE,FALSE,
scoundrel-bagoftricks-special,Bag of Tricks: Malice,scoundrel,4,2,1,Range 3,TRUE,[tier]+2,FALSE,,FALSE,10,"special,ranged,attack","If you performed a *Melee Weapon* *Attack* **Action** this turn, **Malice** is a **Combo** action, **1 AP** less *(min. 1)*, and you don't suffer **Disadvantage** when using this *Ranged Attack* **Action** while a hostile character is adjacent.
**On Hit:** Inflict **Poisoned +1.**",FALSE,FALSE,
scoundrel-skillsteal,Skill Steal,scoundrel,4,reaction,0,,FALSE,,FALSE,,TRUE,10+[tier],"spell,reaction,limitencounter","**Condition:** A hostile non-*Elite* character within **Range 3** performs a *Spell* **Action.**
**Effect:** That character makes a **Resistance Roll** or you gain that ability for the rest of the encounter. If it deals damage, it deals 2[atk] instead of any other damage profile. **Piercing** or **Chaos Damage** are dealt as normal damage. It doesn't deal **Bonus Damage.** It has **Focus Cost: 3** and **1/Encounter.**",FALSE,FALSE,
scoundrel-exsanguinate,Exsanguinate,scoundrel,5,1,0,Melee,TRUE,[atk],FALSE,[tier],FALSE,10,"finisher,melee,weapon,attack,limitround","**Finisher: On Hit:** The target suffers ***x*** **Piercing Chaos Damage**, and your choice of **Bleeding** +***x*** or **Poisoned** +***x***, where ***x*** is the target's current **Bleeding** or **Poisoned** value. A character can only suffer this effect **1/Encounter**.
**Finisher - On Miss:** Graze [T].",FALSE,FALSE,
scoundrel-ruinousblade,Ruinous Blade,scoundrel,5,passive,0,,FALSE,,FALSE,,FALSE,10,"passive,bound","The **Bound** *Attack* has **On Hit, Choose One:** Inflict **Poisoned +1** or **Bleeding +1.**",FALSE,FALSE,
marksman-ranged-stance,Ranged Stance,marksman,0,passive,0,,FALSE,,FALSE,,FALSE,10,"ranged,weapon,stance","In **Ranged Stance,** you can perform *Ranged Weapon Attack* **Actions.** Your *Basic* **Attack Action** is *Ranged* and has **Range 4.**",FALSE,FALSE,
marksman-reactive-shot,Reactive Shot,marksman,0,1,0,,FALSE,,FALSE,,FALSE,10,,"Create **Reactive Shot,** a **Size 1 Area** centered on target tile within **Range** of your *Basic* **Attack Action** that lasts until the start of your next turn. For that duration, you gain the **Predator** (?) *Special* **Reaction**.",FALSE,FALSE,
marksman-reactive-shot-special,Reactive Shot: Predator,marksman,0,reaction,0,,FALSE,,FALSE,,FALSE,10,"special,reaction","**Condition:** A hostile character moves into your **Reactive Shot.**
**Effect:** Perform a *Ranged Attack* **Action** that costs or less targeting that character.",FALSE,FALSE,marksman-reactive-shot
marksman-snare-trap,Snare Trap,marksman,0,1,1,Range 4,FALSE,,FALSE,,TRUE,10+[tier],"trap,limitencounter","A **Snare Trap** is armed at the start of your next turn and activates when a hostile character becomes adjacent while armed.
- **Effect:** The hostile character makes a **Resistance Roll** or becomes **Immobilized 1** and can't perform reactions while **Immobilized.** A character that **Resists** is **Slowed 1.**",FALSE,FALSE,
marksman-ultimate,Deadeye,marksman,0,0,0,,FALSE,,FALSE,,FALSE,10,"heroic,ultimate","**For the rest of the encounter:** 
- Your *Attack* **Actions** have **Flurry.** 
- Your **Predator** *Reaction* is **1/Turn**. 
- Actions with *Range* have **+3 Range.** 
- Your *Trap* **Actions** with **1/Encounter** are **1/Round** instead.",FALSE,FALSE,
marksman-admixture,Admixture,marksman,1,1,1,,FALSE,,FALSE,,FALSE,10,spell,"Your next *Ranged Weapon Attack* **Action** this turn has **On Damage:** Inflict **Bleeding 1, Poisoned 1,** or **Slowed 1.** *(You choose.)*",FALSE,FALSE,
marksman-smoke-trap,Smoke Trap,marksman,1,1,1,Range 4,FALSE,,FALSE,,FALSE,10,"trap,limitencounter","A **Smoke Trap** is armed at the start of your next turn and activates when a hostile character becomes adjacent while armed.
- **Effect:** The **Trap** detonates in a **Size 1 Area** centered on its tile, which lasts until the end of your next turn. Characters in that area have **Concealment 3.**",FALSE,FALSE,
marksman-steady-aim,Steady Aim,marksman,1,1,0,,FALSE,,FALSE,,FALSE,10,limitround,"This turn, your *Ranged Attack* **Actions** ignore cover.",FALSE,FALSE,
marksman-first-aid,First Aid,marksman,1,passive,0,,FALSE,,FALSE,,FALSE,10,,"When you perform the *Basic* **Aid Action** on an allied character, **Focus Cost:** 2 -- That character receives **1 Healing** and removes **Bleeding, Slowed,** and **Immobilized** if those conditions weren't self-inflicted.",FALSE,FALSE,
marksman-opportunity,Free Shot,marksman,2,reaction,0,,FALSE,,FALSE,,FALSE,10,"attack,reaction,limitround","**Condition:** A hostile character within your *Basic* **Attack Action's Range** is hit by an allied character's attack.
**Effect:** Perform your *Basic* **Attack Action** on the hostile character. It deals half damage and no bonus damage.",FALSE,FALSE,
marksman-full-draw,Full Draw,marksman,2,2,0,Range 4,TRUE,2[atk]+2,FALSE,,FALSE,10,"ranged,weapon,attack",,FALSE,FALSE,
marksman-exploding-trap,Exploding Trap,marksman,2,1,2,,FALSE,2[mag]+4,FALSE,,TRUE,10+[tier],"trap,limitencounter","An **Exploding Trap** is armed at the start of your next turn and activates when a hostile character becomes adjacent while armed.
- **Effect:** All characters adjacent to the **Trap** make a **Resistance Roll** or suffer the Trap's damage (half on a **Resist**).",FALSE,FALSE,
marksman-volley,Volley,marksman,3,2,3,,TRUE,[atk],FALSE,,FALSE,10,"ranged,weapon,attack",Characters in a **Size 1 Area** centered on a tile within your *Basic* **Attack Action's Range** become targets.,FALSE,FALSE,
marksman-splintering-arrow,Splintering Arrow,marksman,3,passive,0,,FALSE,,FALSE,,FALSE,10,,"**Each round,** the first **Attack Roll** you make as part of a *Ranged Weapon Attack* **Action** has **On Damage:** Deal **3 Damage** to up to one hostile character of your choice adjacent to one target of the attack. *(No roll.)*",FALSE,FALSE,
marksman-lock-on,Lock On,marksman,3,passive,0,,FALSE,,FALSE,,FALSE,10,,"**Start of Turn:** You may become **Immobilized** until the start of your next turn. While **Immobilized** this way, *Ranged Attack* **Actions** have **+1 Advantage.**",FALSE,FALSE,
marksman-zen-archer,Zen Archer,marksman,4,passive,0,,FALSE,,FALSE,,FALSE,10,,"When you perform the *Basic* **Refocus Action**, you can perform a *Ranged Attack* **Action** that costs **1 AP** as a **Free Action**. It deals no bonus damage.",FALSE,FALSE,
marksman-blinding-trap,Blinding Trap,marksman,4,1,1,Range 4,FALSE,,FALSE,,TRUE,10+[tier],"trap,limitencounter","A **Blinding Trap** is armed at the start of your next turn and activates when a hostile character becomes adjacent while armed.
- **Effect:** The hostile character makes a **Resistance Roll** or becomes **Blinded 4** until the end of their next turn, or **Blinded 1** on a **Resist.** *(A Blinded character treats other characters as though they have Concealment equal to the Blinded amount.)*",FALSE,FALSE,
marksman-point-blank-stance,Point Blank Stance,marksman,4,passive,0,,FALSE,,FALSE,,FALSE,10,"ranged,weapon,stance","You have **+1 Attack**. Your *Basic* *Attack* **Action** is *Ranged* and has **Range 3.** Your **Actions** with **Range** have a **Maximum Range** of **3.**

You don't suffer **Disadvantage** for performing ***non-Spell*** *Ranged* **Attack Actions** against adjacent targets. Your *Ranged* **Attack Actions** ignore cover.",FALSE,FALSE,
marksman-rupturing-shot,Rupturing Shot,marksman,5,1,2,,TRUE,[atk]+2,FALSE,,TRUE,10+[tier],"ranged,weapon,attack",**On Damage:** You gain the **Rupture** reaction until the start of your next turn. The target makes a **Resistance Roll** or becomes a **Ruptured** target for the same duration.,FALSE,FALSE,
marksman-rupturing-shot-special,Rupturing Shot: Rupture,marksman,5,reaction,0,,FALSE,,FALSE,,FALSE,10,"special,reaction,limitround","**Condition:** Your **Ruptured** target ends its turn.
**Effect:** The triggering character suffers **Piercing Chaos** damage equal to the number of tiles it moved this turn. That character is no longer a **Ruptured** target. *(Includes involuntary movement. No roll.)*",FALSE,FALSE,marksman-rupturing-shot
marksman-luciform-eye,Luciform Eye,marksman,5,passive,0,,FALSE,,FALSE,,FALSE,10,,Your *Attack* **Actions** with non-*Melee* **Range** have +2 **Range.**,FALSE,FALSE,
glyphs-generic-focus,Improved Focus,glyphs,1,passive,0,,FALSE,,FALSE,,FALSE,10,,Increased **Focus Pool** (+2).,FALSE,FALSE,
glyphs-generic-healer,Healer,glyphs,1,passive,0,,FALSE,,FALSE,,FALSE,10,,**Healing** you confer is increased by 1.,FALSE,FALSE,
glyphs-generic-mending,Mending,glyphs,1,2,0,Melee,FALSE,,FALSE,,FALSE,10,support,You or up to one adjacent friendly non-*summon* character receives [d4]+1 **Healing**.,FALSE,FALSE,
glyphs-generic-reposition,Reposition,glyphs,2,1,0,,FALSE,,FALSE,,TRUE,10+[tier],movement,"Switch places with an adjacent character. A hostile character makes a **Resistance Roll**, preventing the movement if they **Resist**. *(Each character is simultaneously moved into the other's space. It's involuntary movement for both characters and doesn't target either of those characters.)*",FALSE,FALSE,
glyphs-generic-cleric-stance,Cleric Stance,glyphs,2,passive,0,,FALSE,,FALSE,,FALSE,10,stance,Your *Support Spell* **Actions** have **Focus Cost** -1.,FALSE,FALSE,
glyphs-generic-healer-2,Superior Healer,glyphs,3,passive,0,,FALSE,,FALSE,,FALSE,10,,**Healing** you confer is increased by 1.,FALSE,FALSE,
glyphs-generic-focus-2,Superior Focus,glyphs,3,passive,0,,FALSE,,FALSE,,FALSE,10,,Increased **Focus Pool** (+2).,FALSE,FALSE,
glyphs-generic-condemnation,Condemnation,glyphs,4,passive,0,,FALSE,,FALSE,,FALSE,10,,The DV of **Resistance Rolls** you force is increased by 1.,FALSE,FALSE,
arcanimist-arcane-glyph,Arcane Glyph,arcanimist,0,1,1,,FALSE,,FALSE,,FALSE,10,"spell,special,limitencounter","Create an **Arcane Glyph** on your tile.
- For the rest of the encounter, when you **Refocus:** Move your **Arcane Glyph** to your tile.
- While in a tile with your **Arcane Glyph:**
- Your non-*Support* **Spells** have **-1 AP Cost** *(min. 1)*.
- *Spell* **Actions** have **Focus Cost -1** *(min. 1)*.
- **Spells** with **Range** have **Range +1**.",FALSE,FALSE,
arcanimist-arcane-warp,Arcane Warp,arcanimist,0,reaction,2,,FALSE,,FALSE,,FALSE,10,"spell,movement,reaction,limitencounter","**Condition:** Your turn begins.
**Effect:** **Teleport** to your **Arcane Glyph**.",FALSE,FALSE,
arcanimist-blast,Blast,arcanimist,0,2,2,Range 4,TRUE,[mag]+1,FALSE,,FALSE,10,"ranged,spell,attack",,FALSE,FALSE,
arcanimist-blast-2,Blast II,arcanimist,0,3,2,Range 4,TRUE,2[mag]+2,FALSE,,FALSE,10,"ranged,spell,attack",,FALSE,FALSE,
arcanimist-ultimate,Ultimate Calamity,arcanimist,0,0,0,,FALSE,,FALSE,,FALSE,10,"heroic,ultimate,spell","You gain **3 Bonus AP**. This **Bonus AP** is lost when you perform any non-*Spell* **Action**. This turn, *Spell* **Actions** you perform with **1 or more Bonus AP** cost **0 Focus**. Additionally, this turn, your **Ranged Attacks** gain **Flurry** and treat **Obstructions** as **Cover** as long as any unobstructed path of any distance exists through which they could reach the target.",FALSE,FALSE,
arcanimist-reliable-blast,Reliable Blast,arcanimist,1,passive,0,,FALSE,,FALSE,,FALSE,10,,"Your *Ranged Spell Attack* **Actions** with **Focus Costs** and without **Graze** have **On Miss: Graze x**, where x is the **Focus Cost**.
*(Graze can activate **On Damage** effects, but not **On Hit** effects.)*",FALSE,FALSE,
arcanimist-focused-blast,Focused Blast,arcanimist,1,passive,0,,FALSE,,FALSE,,FALSE,10,,"When you **Refocus**, receive **1 Healing** and the first *Spell Attack* **Action** you perform during your next turn has **+1 Advantage**. *(Does not stack.)*",FALSE,FALSE,
arcanimist-concentrated-power,Concentrated Power,arcanimist,1,passive,0,,FALSE,,FALSE,,FALSE,10,,During your **Delayed Turn:** Your first **Attack Action** has **+1 Advantage**.,FALSE,FALSE,
arcanimist-spellburst,Spellburst,arcanimist,1,2,3,Range 4,FALSE,,FALSE,,TRUE,10,"spell,ranged,limitround","Characters in a **Size 1 Area** centered on the target tile make a **Resistance Roll** or suffer **[mag] Damage**, taking **half damage** on a **Resist**.",FALSE,FALSE,
arcanimist-scorching-ray,Scorching Ray,arcanimist,2,1,2,Range 5,TRUE,[mag],TRUE,1,FALSE,10,"spell,attack,ranged,limitround",,FALSE,FALSE,
arcanimist-overload,Overload,arcanimist,2,passive,0,,FALSE,,FALSE,,FALSE,10,,After you perform a *Spell* **Action:** Spend up to **6 Focus**. **Overload** deals that much **Chaos Damage** to each character dealt damage by that *Spell* **Action**. This damage is halved against a target that was dealt half damage by the **Spell**.,FALSE,FALSE,
arcanimist-exploding-spells,Exploding Spells,arcanimist,2,passive,0,,FALSE,,FALSE,,FALSE,10,,Your *Spell Attack* **Actions** have **On Hit:** Characters adjacent to the target take **[tier]+1 Damage**. This benefit applies only once per **Action**. *(No roll.)*,FALSE,FALSE,
arcanimist-concussive-blast,Concussive Blast,arcanimist,3,passive,0,,FALSE,,FALSE,,FALSE,10,bound,"**Bind to a *Spell Attack* Action.** *(When you begin an encounter, choose an option from those available to you to bind this ability to.)*
The **Bound Attack** has **On Hit: Push 1**.",FALSE,FALSE,
arcanimist-destroyer-stance,Destroyer Stance,arcanimist,3,passive,0,,FALSE,,FALSE,,FALSE,10,"weapon,stance",You have **Magic +2.**,FALSE,FALSE,
arcanimist-incandescent-ray,Incandescent Ray,arcanimist,3,3,4,Line 8,FALSE,,FALSE,,TRUE,10+[tier],"spell,ranged,limitround","Hostile characters in the **Line** make a **Resistance Roll** or suffer **2d6+3 Damage**, taking **half damage** on a **Resist**.",FALSE,FALSE,
arcanimist-perfected-fuels,Perfected Fuels,arcanimist,4,passive,0,,FALSE,,FALSE,,FALSE,10,passive,"Your *Spell* **Actions** deal **+2 Bonus Damage** while above half of your maximum **Focus Pool**.
If you would pay a **Focus Cost**, you may instead pay **1 + x HP**, where x is that **Focus Cost**. *(This is a cost, not damage: it can't be prevented and must be paid to perform the Action.)*",FALSE,FALSE,
arcanimist-uncontrollable-power,Uncontrollable Power,arcanimist,4,passive,0,,FALSE,,FALSE,,FALSE,10,"passive,bound","**Bind to an Attack Action.** *(When you begin an encounter, choose an option from those available to you to bind this ability to.)*
The **Bound Attack** has **+1 Disadvantage** and deals **+1d6 Bonus Damage**.",FALSE,FALSE,
arcanimist-destruction,Destruction,arcanimist,4,3,5,Range 6,TRUE,2[mag]+4,FALSE,,FALSE,10,"spell,attack,ranged","""**Destruction** deals maximum damage to destructibles and treats **Obstructions** as **Cover** as long as any unobstructed path to the target exists.


**During your Delayed Turn:** **Destruction** deals **6 Bonus Damage** and has **+1 Advantage**.""",FALSE,FALSE,
arcanimist-eye-of-oblivion,Eye of Oblivion,arcanimist,5,passive,0,,FALSE,,FALSE,,FALSE,10,passive,When you roll the highest possible number on any die when determining the damage of an **Action:** Roll one of those dice again. The **Action** deals that much **Bonus Damage**.,FALSE,FALSE,
arcanimist-paradox,Paradox,arcanimist,5,passive,0,,FALSE,,FALSE,,FALSE,10,"special,spell,passive","You have the **Conservation Law** *Special* **Passive** and the **Paradox** *Special* **Action**.

**Conservation Law — Special Passive**
Each round, the first non-*Paradox* *Spell* **Action** you perform that deals damage has the following properties:
- The damage the **Spell** deals to each character is reduced by **5**. It deals no **Bonus Damage**.
- **On Damage:** At the beginning of the next round, **Charge Paradox**.
- At the end of any round, if **Paradox** is **Charged:** **Discharge Paradox**.",FALSE,FALSE,
arcanimist-paradox-special,Paradox: Discharge,arcanimist,5,2,0,Range 5,TRUE,5,FALSE,,FALSE,10,"special,spell,attack,charged,ranged,limitround","*(Perform this Action only while it's Charged.)*
- **Flurry.**
- **On Attack, Discharge Paradox:** Recover **5 Focus**.",FALSE,FALSE,arcanimist-paradox
magi-generic-calamity,Calamity,magi,1,passive,0,,FALSE,,FALSE,,FALSE,10,passive,"Each round, your first hit with a *Spell Attack* **Action** deals **+2 Bonus Damage** to one target.",FALSE,FALSE,
magi-generic-bolt,Bolt,magi,1,2,2,Range 4,TRUE,[mag]+2,TRUE,2,FALSE,10,"ranged,spell,attack",**Flurry**,FALSE,FALSE,
magi-generic-concussive-rune,Concussive Rune,magi,1,1,2,Range 4,FALSE,1d4+2,FALSE,,TRUE,10+[tier],"trap,spell","A **Concussive Rune** is armed at the start of your next turn and activates when a hostile character becomes adjacent.
- **Effect:** Characters in a **Size 1 Area** centered on the *Trap* make a **Resistance Roll** or suffer d4+2 **Damage** and **Dazed+1**. A character that resists suffers half damage and isn't **Dazed**.

You can have no more than one **Concussive Trap** in play at a time. Remove the previous one from the map if a new one is created.",FALSE,FALSE,
magi-generic-evoker-stance,Evoker Stance,magi,2,passive,0,,FALSE,,FALSE,,FALSE,10,stance,Your *Attack Spell* **Actions** have **Focus Cost -1**.,FALSE,FALSE,
magi-generic-addle,Addle,magi,2,2,2,Range 5,FALSE,[mag],FALSE,,TRUE,10+[tier],spell,Target hostile character makes a **Resistance Roll** or suffers [mag] **damage** and is **Slowed 1** and **Dazed +1**. A character that **Resists** suffers half damage and isn't **Dazed** or **Slowed**.,FALSE,FALSE,
magi-generic-blink,Blink,magi,3,1,3,Range 5,FALSE,,FALSE,,FALSE,10,"support,spell",Teleport to target free space.,FALSE,FALSE,
magi-generic-supreme-calamity,Supreme Calamity,magi,3,passive,0,,FALSE,,FALSE,,FALSE,10,passive,"Each round, your first hit with a *Spell Attack* **Action** deals **+2 Bonus Damage** to one target.",FALSE,FALSE,
magi-generic-signature-spell,Signature Spell,magi,4,passive,0,,FALSE,,FALSE,,FALSE,10,"passive,bound","**Bind** to a *Spell* **Action**.
The **Bound** *Spell* has **Focus Cost -1** *(min. 0)*.",FALSE,FALSE,
heroic-generic-precision,Precision,heroic,0,passive,0,,FALSE,,FALSE,,FALSE,10,heroic,"**Bind** to an *Attack* **Action**.
The **Bound Action** has **+1 Advantage**.",FALSE,TRUE,
heroic-generic-signature-move,Signature Move,heroic,0,passive,0,,FALSE,,FALSE,,FALSE,10,heroic,"**Bind** to an **Action or Reaction** with a **Focus Cost**.
The **Bound Action** or **Reaction** has **Focus Cost -1** *(min. 1)*.",FALSE,TRUE,
heroic-generic-skirmisher,Skirmisher,heroic,0,passive,0,,FALSE,,FALSE,,FALSE,10,heroic,You can move diagonally.,FALSE,TRUE,
heroic-generic-prototrophize,Prototrophize,heroic,0,passive,0,,FALSE,,FALSE,,FALSE,10,"heroic,limitencounter","**1/Encounter:** When you **Refocus**, increase the **Flow of Battle** by 1.",FALSE,TRUE,
heroic-generic-diehard,Diehard,heroic,0,passive,0,,FALSE,,FALSE,,FALSE,10,"heroic,limitencounter","If you would be **Downed**, **1/Encounter:** Make a **Resistance Roll** (10). On a success, you remain at 1 HP.",FALSE,TRUE,
heroic-generic-supreme-resolve,Supreme Resolve,heroic,0,passive,0,,FALSE,,FALSE,,FALSE,10,heroic,The *Basic* **Refocus Action** restores 1/2 of your maximum **Focus** instead of 1/3.,FALSE,TRUE,
heroic-generic-ranger,Ranged Stance,heroic,0,passive,0,,FALSE,,FALSE,,FALSE,10,"heroic,ranged,weapon,stance","In **Ranged Stance,** you can perform *Ranged Weapon Attack* **Actions.** Your *Basic* **Attack Action** is *Ranged* and has **Range 4.**",FALSE,TRUE,
heroic-generic-swiftcast,Swiftcast,heroic,0,reaction,0,,FALSE,,FALSE,,FALSE,10,"heroic,spell,reaction,limitencounter","**Condition:** Another character's turn ends.

**Effect:** Spend 1 **Inspiration**. Perform a *Spell* **Action** with a **Base AP Cost** of **2 AP** or less as part of this **Reaction**. You still pay all other costs of that **Action**.",FALSE,TRUE,
marksman-heroic-demolitionist,Demolitionist,marksman,0,passive,0,,FALSE,,FALSE,,FALSE,10,heroic,"When you perform a *Trap* **Action,** you may pay 1 AP. If you do, that *Trap* becomes armed immediately, and you can activate it as a free **Reaction** at the end of any character's turn. *(Traps activated this way aren't considered to be triggered by any character.)

You may perform *Trap* **Actions** as though they had **Spend 1 Inspiration** instead of **1/Encounter.**",FALSE,TRUE,
marksman-heroic-snipe,Snipe,marksman,0,2,0,Range 7,TRUE,3[atk],TRUE,3+[tier],FALSE,10,"heroic,accurate,ranged,weapon,attack","Perform **Snipe** only during your turn, only with **Initiative**, and only while you have **Concealment**.
- **Flurry**. 
- **+1 Advantage**.
- **On Critical:** The target is **Stunned +2**.",FALSE,TRUE,
marskman-heroic-trueshot,Trueshot Aura,marksman,0,passive,0,,FALSE,,FALSE,,FALSE,10,"heroic,aura",Allied characters within your *Aura* have **+1 Advantage** with *Ranged* **Attack Actions.**,FALSE,TRUE,
marksman-heroic-arcane,Arcane Archer,marksman,0,passive,0,,FALSE,,FALSE,,FALSE,10,heroic,"While you aren't in a *Ranged Weapon Stance*: You can perform *Ranged Weapon* **Actions** in any *Stance*.
If the **Focus Cost** of those **Actions** is lower than the **AP Cost** of those **Actions**, the **Focus Cost** becomes the **AP Cost**.
Any [atk] in the damage profile of those **Actions** becomes [mag].",FALSE,TRUE,
